opcode,API importance,API importance (accurate)
BLKDISCARDZEROES(0x127c),0.039790,1-10^-0.018
BLKZEROOUT(0x127f),0.039424,1-10^-0.017
DMX_SET_BUFFER_SIZE(0x6f2d),0.038715,1-10^-0.017
USBDEVFS_RESETEP(0x80045503),0.038013,1-10^-0.017
VIDIOC_S_FBUF(0x4030560b),0.036843,1-10^-0.016
FE_GET_PROPERTY(0x80106f53),0.036073,1-10^-0.016
TIOCVHANGUP(0x5437),0.034463,1-10^-0.015
VIDIOC_G_FBUF(0x8030560a),0.029858,1-10^-0.013
TUNGETFEATURES(0x800454cf),0.029599,1-10^-0.013
FE_GET_FRONTEND(0x80246f4d),0.025126,1-10^-0.011
DMX_START(0x6f29),0.024754,1-10^-0.011
TUNGETIFF(0x800454d2),0.024431,1-10^-0.011
TUNSETSNDBUF(0x400454d4),0.023551,1-10^-0.010
TUNSETVNETHDRSZ(0x400454d8),0.023551,1-10^-0.010
TUNSETQUEUE(0x400454d9),0.023551,1-10^-0.010
TUNGETVNETHDRSZ(0x800454d7),0.023551,1-10^-0.010
VFIO_IOMMU_GET_INFO(0x3b70),0.023502,1-10^-0.010
VFIO_IOMMU_MAP_DMA(0x3b71),0.023502,1-10^-0.010
TUNSETOFFLOAD(0x400454d0),0.023502,1-10^-0.010
VFIO_IOMMU_UNMAP_DMA(0x3b72),0.023502,1-10^-0.010
CA_SEND_MSG(0x410c6f85),0.021267,1-10^-0.009
CA_GET_MSG(0x810c6f84),0.021267,1-10^-0.009
VIDIOC_G_AUDIO(0x80345621),0.021058,1-10^-0.009
TUNSETNOCSUM(0x400454c8),0.020833,1-10^-0.009
IIOCNETGCF(0x4904),0.020204,1-10^-0.009
VIDIOC_G_OUTPUT(0x8004562e),0.019954,1-10^-0.009
AUDIO_SET_BYPASS_MODE(0x6f08),0.019666,1-10^-0.009
FE_ENABLE_HIGH_LNB_VOLTAGE(0x6f44),0.019666,1-10^-0.009
FE_DISHNETWORK_SEND_LEGACY_CMD(0x6f50),0.019666,1-10^-0.009
CA_SET_PID(0x40086f87),0.019666,1-10^-0.009
CA_SET_DESCR(0x40106f86),0.019666,1-10^-0.009
CA_GET_DESCR_INFO(0x80086f83),0.019666,1-10^-0.009
TUNSETLINK(0x400454cd),0.019605,1-10^-0.009
FW_CDEV_IOC_RECEIVE_PHY_PACKETS(0x40082316),0.019327,1-10^-0.008
TCXONC(0x540a),0.018208,1-10^-0.008
FIONCLEX(0x5450),0.015756,1-10^-0.007
FDMSGOFF(0x246),0.013735,1-10^-0.006
AUTOFS_IOC_READY(0x9360),0.011951,1-10^-0.005
AUTOFS_IOC_FAIL(0x9361),0.011951,1-10^-0.005
TCSBRKP(0x5425),0.010564,1-10^-0.005
TCSETA(0x5406),0.009403,1-10^-0.004
TIOCSIG(0x40045436),0.009030,1-10^-0.004
FIOASYNC(0x5452),0.008573,1-10^-0.004
TCSETAF(0x5408),0.007903,1-10^-0.003
FE_DISEQC_RECV_SLAVE_REPLY(0x800c6f40),0.005667,1-10^-0.002
VIDEO_GET_PTS(0x80086f39),0.005180,1-10^-0.002
VIDEO_GET_FRAME_COUNT(0x80086f3a),0.005180,1-10^-0.002
VIDEO_GET_EVENT(0x80206f1c),0.005180,1-10^-0.002
VIDIOC_S_JPEGCOMP(0x408c563e),0.004949,1-10^-0.002
CCISS_GETPCIINFO(0x80084201),0.003685,1-10^-0.002
VIDEO_SELECT_SOURCE(0x6f19),0.003122,1-10^-0.001
COMEDI_DEVCONFIG(0x40946400),0.003110,1-10^-0.001
COMEDI_BUFCONFIG(0x8020640d),0.003110,1-10^-0.001
COMEDI_DEVINFO(0x80b06401),0.003110,1-10^-0.001
TIOCSSOFTCAR(0x541a),0.003110,1-10^-0.001
IIOCNETGPN(0x4922),0.002965,1-10^-0.001
MCE_GET_RECORD_LEN(0x80044d01),0.002333,1-10^-0.001
MCE_GET_LOG_LEN(0x80044d02),0.002333,1-10^-0.001
MCE_GETCLEAR_FLAGS(0x80044d03),0.002333,1-10^-0.001
VIDIOC_G_JPEGCOMP(0x808c563d),0.002324,1-10^-0.001
IIOCNETSCF(0x4903),0.002233,1-10^-0.001
IIOCNETHUP(0x490b),0.002233,1-10^-0.001
IIOCSETGST(0x490c),0.002233,1-10^-0.001
IIOCGETDVR(0x4916),0.002233,1-10^-0.001
VIDIOC_SUBSCRIBE_EVENT(0x4020565a),0.002065,1-10^-0.001
VIDIOC_QUERY_DV_TIMINGS(0x80845663),0.002065,1-10^-0.001
VIDIOC_DQEVENT(0x80885659),0.002065,1-10^-0.001
IIOCNETALN(0x4920),0.001927,1-10^-0.001
IIOCNETDLN(0x4921),0.001927,1-10^-0.001
IIOCNETAIF(0x4901),0.001912,1-10^-0.001
IIOCNETDIF(0x4902),0.001912,1-10^-0.001
IIOCNETANM(0x4905),0.001912,1-10^-0.001
IIOCNETDNM(0x4906),0.001912,1-10^-0.001
IIOCNETGNM(0x4907),0.001912,1-10^-0.001
IIOCGETSET(0x4908),0.001912,1-10^-0.001
IIOCSETVER(0x490a),0.001912,1-10^-0.001
IIOCSETBRJ(0x490d),0.001912,1-10^-0.001
IIOCSIGPRF(0x490e),0.001912,1-10^-0.001
IIOCGETPRF(0x490f),0.001912,1-10^-0.001
